"Key","Section","Context","en","sq","Proofreader Notes"
"100","100","General UI text","Within 100 km","",""
"2","2","General UI text","2 seats","",""
"200","200","General UI text","Within 200 km","",""
"25","25","General UI text","Within 25 km","",""
"250","250","General UI text","Within 250 km","",""
"3","3","General UI text","3 doors","",""
"4","4","General UI text","4 seats","",""
"5","5","General UI text","5 seats","",""
"50","50","General UI text","Within 50 km","",""
"500","500","General UI text","Within 500 km","",""
"7","7","General UI text","7 seats","",""
"PhoneExample","PhoneExample","General UI text","(555) 123-4567","",""
"PhoneHours","PhoneHours","General UI text","Telefonn podderzhka accessna v rabochie chasy","",""
"PhoneNumberRequired","PhoneNumberRequired","General UI text","Phone Number *","",""
"PhonePlaceholder","PhonePlaceholder","Form placeholder text","Your Phone number","",""
"PhoneValue","PhoneValue","General UI text","+49 (0) 30 12345678","",""
"about","about","General UI text","About Us","Rreth",""
"aboutUs","aboutUs","General UI text","Your trusted market for quality used cars. Find your ideal car among thousands of listings.","Tregu juaj i besuar për makina cilësore të përdorura. Gjeni automjetin tuaj të përsosur nga mijëra shpallje.",""
"aboveMarket","aboveMarket","General UI text","Above Market","Mbi treg",""
"abs","abs","General UI text","ABS","ABS",""
"acceptPrivacyPolicy","acceptPrivacyPolicy","General UI text","I accept the Privacy Policy","I accept the Privacy Policy",""
"acceptPrivacyRequired","acceptPrivacyRequired","General UI text","You must accept the privacy policy","You must accept the privacy policy",""
"acceptTermsConditions","acceptTermsConditions","General UI text","I accept the Terms and Conditions","I accept the Terms and Conditions",""
"acceptTermsRequired","acceptTermsRequired","General UI text","You must accept terms and conditions","You must accept the terms and conditions",""
"accessibility","accessibility","General UI text","Accessibility","Aksesueshmëria",""
"accident","accident","General UI text","Accident History","",""
"accidentHistory","accidentHistory","General UI text","","Historiku i Aksidenteve",""
"accidentRequired","accidentRequired","General UI text","Please select accident history","",""
"accordionWithAnimations","accordionWithAnimations","General UI text","Akkordeon s uluchshenn animationmi i accessibilityyu","Akordeon me animacione dhe aksesueshmëri të përmirësuar",""
"account","account","General UI text","Account i ispolzovanie","Llogaria dhe Përdorimi",""
"accountManagement","accountManagement","General UI text","Account Management","Menaxhimi i llogarisë",""
"accountManagementDesc","accountManagementDesc","Description text","Upravlyayte nastroykami i predpochteniyami vashego dealersk accounta","Menaxhoni cilësimet dhe preferencat e llogarisë tuaj si shitës",""
"accountSettings","accountSettings","General UI text","Account Settings","Cilësimet e llogarisë",""
"accountSetup","accountSetup","General UI text","Account Setup","Account Setup",""
"actions","actions","General UI text","Actions","Veprimet",""
"activateUser","activateUser","General UI text","Activate User","Aktivo Përdoruesin",""
"active","active","General UI text","Active","Kërkimi i Avancuar Aktiv",""
"activeListingsCount","activeListingsCount","General UI text","active listings","shpallje aktive",""
"activeSessions","activeSessions","General UI text","Active Sessions","Sesionet Aktive",""
"adaptiveCruiseControl","adaptiveCruiseControl","General UI text","","Kontrolli Adaptues i Kursit",""
"add","add","General UI text","Add","Shto",""
"addNewListing","addNewListing","General UI text","Add New Listing","Shto Shpallje të Re",""
"addPhotos","addPhotos","General UI text","Add photos","Shto foto",""
"addUpToTenPhotos","addUpToTenPhotos","General UI text","Add up to 10 photos. First photo will be the main image.","Shtoni deri në 10 foto. Fotoja e parë do të jetë imazhi kryesor.",""
